57	57	59	62	66	70	74	77	80	83	86	88	90	92	90	88
56	56	58	61	65	69	73	76	79	82	85	87	89	91	89	87
55	55	57	60	64	68	72	75	78	81	84	86	88	90	88	86
54	54	56	59	63	67	71	74	77	80	83	85	87	89	87	85
52	52	54	57	61	65	69	72	75	78	81	83	85	87	85	83
50	50	52	55	59	63	67	70	73	76	79	81	83	85	83	81
48	48	50	53	57	61	65	68	71	74	77	79	81	83	81	79
45	45	47	50	54	58	62	65	68	71	74	76	78	80	78	76
42	42	44	47	51	55	59	62	65	68	71	73	75	77	75	73
40	40	42	45	49	53	57	60	63	66	69	71	73	75	73	71
38	38	40	43	47	51	55	58	61	64	67	69	71	73	71	69
36	36	38	41	45	49	53	56	59	62	65	67	69	71	69	67
34	34	36	39	43	47	51	54	57	60	63	65	67	69	67	65
32	32	34	37	41	45	49	52	55	58	61	63	65	67	65	63
31	31	33	36	40	44	48	51	54	57	60	62	64	66	64	62
30	30	32	35	39	43	47	50	53	56	59	61	63	65	63	61
